 Fre(Hz),  er,  ei,  ur,  ui
8399937500.0000,2.0266,0.0271,1.0196,0.0256
8402500000.0000,2.0264,0.0304,1.0207,0.0226
8405062500.0000,2.0291,0.0286,1.0165,0.0211
8407625000.0000,2.0277,0.0302,1.0162,0.0237
8410187500.0000,2.0261,0.0300,1.0174,0.0213
8412750000.0000,2.0286,0.0277,1.0183,0.0211
8415312500.0000,2.0272,0.0313,1.0170,0.0224
8417875000.0000,2.0272,0.0296,1.0181,0.0248
8420437500.0000,2.0281,0.0278,1.0195,0.0211
8423000000.0000,2.0282,0.0302,1.0167,0.0243
8425562500.0000,2.0243,0.0320,1.0176,0.0248
8428125000.0000,2.0267,0.0295,1.0174,0.0225
8430687500.0000,2.0260,0.0286,1.0164,0.0189
8433250000.0000,2.0239,0.0309,1.0183,0.0221
8435812500.0000,2.0266,0.0307,1.0180,0.0234
8438375000.0000,2.0250,0.0292,1.0213,0.0214
8440937500.0000,2.0275,0.0271,1.0194,0.0191
8443500000.0000,2.0256,0.0270,1.0218,0.0213
8446062500.0000,2.0261,0.0300,1.0172,0.0243
8448625000.0000,2.0284,0.0305,1.0161,0.0184
8451187500.0000,2.0274,0.0292,1.0178,0.0229
8453750000.0000,2.0283,0.0301,1.0170,0.0230
8456312500.0000,2.0277,0.0307,1.0131,0.0202
8458875000.0000,2.0249,0.0286,1.0152,0.0220
8461437500.0000,2.0249,0.0278,1.0182,0.0221
8464000000.0000,2.0268,0.0264,1.0174,0.0208
8466562500.0000,2.0264,0.0264,1.0154,0.0216
8469125000.0000,2.0275,0.0279,1.0167,0.0197
8471687500.0000,2.0258,0.0267,1.0133,0.0218
8474250000.0000,2.0265,0.0274,1.0144,0.0185
8476812500.0000,2.0262,0.0296,1.0214,0.0198
8479375000.0000,2.0250,0.0287,1.0194,0.0163
8481937500.0000,2.0243,0.0268,1.0203,0.0141
8484500000.0000,2.0266,0.0267,1.0171,0.0204
8487062500.0000,2.0257,0.0269,1.0157,0.0197
8489625000.0000,2.0271,0.0274,1.0137,0.0190
8492187500.0000,2.0288,0.0249,1.0149,0.0168
8494750000.0000,2.0291,0.0263,1.0202,0.0177
8497312500.0000,2.0273,0.0275,1.0162,0.0239
8499875000.0000,2.0233,0.0269,1.0187,0.0222
8502437500.0000,2.0249,0.0286,1.0185,0.0210
8505000000.0000,2.0267,0.0264,1.0203,0.0173
8507562500.0000,2.0288,0.0272,1.0155,0.0183
8510125000.0000,2.0276,0.0250,1.0190,0.0164
8512687500.0000,2.0278,0.0272,1.0174,0.0177
8515250000.0000,2.0260,0.0295,1.0129,0.0205
8517812500.0000,2.0257,0.0292,1.0147,0.0240
8520375000.0000,2.0256,0.0279,1.0193,0.0219
8522937500.0000,2.0251,0.0258,1.0223,0.0161
8525500000.0000,2.0257,0.0249,1.0224,0.0197
8528062500.0000,2.0314,0.0290,1.0112,0.0208
8530625000.0000,2.0267,0.0272,1.0154,0.0185
8533187500.0000,2.0303,0.0280,1.0152,0.0217
8535750000.0000,2.0282,0.0281,1.0131,0.0179
8538312500.0000,2.0250,0.0296,1.0217,0.0223
8540875000.0000,2.0270,0.0305,1.0174,0.0243
8543437500.0000,2.0265,0.0296,1.0144,0.0224
8546000000.0000,2.0294,0.0291,1.0130,0.0204
8548562500.0000,2.0236,0.0297,1.0212,0.0166
8551125000.0000,2.0246,0.0291,1.0195,0.0210
8553687500.0000,2.0268,0.0292,1.0202,0.0221
8556250000.0000,2.0288,0.0298,1.0140,0.0213
8558812500.0000,2.0277,0.0296,1.0135,0.0170
8561375000.0000,2.0255,0.0314,1.0213,0.0186
8563937500.0000,2.0264,0.0298,1.0165,0.0214
8566500000.0000,2.0295,0.0310,1.0158,0.0192
8569062500.0000,2.0255,0.0297,1.0206,0.0190
8571625000.0000,2.0247,0.0318,1.0201,0.0213
8574187500.0000,2.0260,0.0285,1.0163,0.0189
8576750000.0000,2.0243,0.0276,1.0205,0.0164
8579312500.0000,2.0259,0.0309,1.0205,0.0227
8581875000.0000,2.0275,0.0283,1.0183,0.0224
8584437500.0000,2.0277,0.0301,1.0177,0.0200
8587000000.0000,2.0269,0.0303,1.0182,0.0190
8589562500.0000,2.0247,0.0308,1.0176,0.0208
8592125000.0000,2.0287,0.0282,1.0181,0.0200
8594687500.0000,2.0273,0.0285,1.0171,0.0184
8597250000.0000,2.0240,0.0272,1.0191,0.0194
8599812500.0000,2.0270,0.0269,1.0180,0.0185
8602375000.0000,2.0243,0.0241,1.0208,0.0225
8604937500.0000,2.0260,0.0279,1.0144,0.0231
8607500000.0000,2.0257,0.0273,1.0178,0.0190
8610062500.0000,2.0278,0.0288,1.0151,0.0175
8612625000.0000,2.0264,0.0292,1.0179,0.0220
8615187500.0000,2.0271,0.0265,1.0203,0.0159
8617750000.0000,2.0275,0.0253,1.0178,0.0180
8620312500.0000,2.0292,0.0267,1.0172,0.0193
8622875000.0000,2.0288,0.0287,1.0162,0.0273
8625437500.0000,2.0290,0.0243,1.0229,0.0130
8628000000.0000,2.0256,0.0297,1.0198,0.0239
8630562500.0000,2.0232,0.0235,1.0254,0.0178
8633125000.0000,2.0263,0.0238,1.0202,0.0142
8635687500.0000,2.0268,0.0243,1.0212,0.0188
8638250000.0000,2.0269,0.0275,1.0165,0.0171
8640812500.0000,2.0276,0.0257,1.0213,0.0184
8643375000.0000,2.0261,0.0284,1.0197,0.0215
8645937500.0000,2.0287,0.0265,1.0192,0.0187
8648500000.0000,2.0261,0.0247,1.0213,0.0209
8651062500.0000,2.0258,0.0298,1.0197,0.0168
8653625000.0000,2.0245,0.0283,1.0180,0.0164
8656187500.0000,2.0281,0.0277,1.0170,0.0200
8658750000.0000,2.0282,0.0305,1.0172,0.0196
8661312500.0000,2.0285,0.0302,1.0185,0.0202
8663875000.0000,2.0343,0.0264,1.0180,0.0194
8666437500.0000,2.0267,0.0361,1.0163,0.0204
8669000000.0000,2.0311,0.0327,1.0174,0.0165
