 Fre(Hz),  er,  ei,  ur,  ui
9573562500.0000,2.0382,0.0330,1.0160,0.0234
9576125000.0000,2.0330,0.0417,1.0113,0.0222
9578687500.0000,2.0383,0.0352,1.0121,0.0212
9581250000.0000,2.0346,0.0400,1.0108,0.0222
9583812500.0000,2.0354,0.0338,1.0143,0.0225
9586375000.0000,2.0379,0.0370,1.0137,0.0221
9588937500.0000,2.0332,0.0360,1.0130,0.0210
9591500000.0000,2.0391,0.0380,1.0126,0.0185
9594062500.0000,2.0372,0.0390,1.0116,0.0196
9596625000.0000,2.0363,0.0377,1.0115,0.0207
9599187500.0000,2.0353,0.0380,1.0100,0.0211
9601750000.0000,2.0355,0.0352,1.0131,0.0225
9604312500.0000,2.0362,0.0346,1.0136,0.0221
9606875000.0000,2.0344,0.0328,1.0143,0.0223
9609437500.0000,2.0367,0.0394,1.0107,0.0220
9612000000.0000,2.0337,0.0347,1.0107,0.0239
9614562500.0000,2.0358,0.0336,1.0140,0.0204
9617125000.0000,2.0345,0.0353,1.0121,0.0226
9619687500.0000,2.0363,0.0341,1.0140,0.0191
9622250000.0000,2.0346,0.0374,1.0124,0.0251
9624812500.0000,2.0352,0.0346,1.0099,0.0229
9627375000.0000,2.0360,0.0337,1.0119,0.0235
9629937500.0000,2.0359,0.0342,1.0099,0.0177
9632500000.0000,2.0338,0.0335,1.0160,0.0231
9635062500.0000,2.0371,0.0293,1.0162,0.0262
9637625000.0000,2.0372,0.0351,1.0145,0.0203
9640187500.0000,2.0372,0.0342,1.0124,0.0216
9642750000.0000,2.0312,0.0272,1.0119,0.0210
9645312500.0000,2.0340,0.0323,1.0141,0.0190
9647875000.0000,2.0412,0.0314,1.0156,0.0219
9650437500.0000,2.0343,0.0354,1.0165,0.0199
9653000000.0000,2.0309,0.0305,1.0137,0.0223
9655562500.0000,2.0373,0.0349,1.0134,0.0195
9658125000.0000,2.0355,0.0327,1.0134,0.0228
9660687500.0000,2.0345,0.0325,1.0122,0.0223
9663250000.0000,2.0365,0.0368,1.0122,0.0175
9665812500.0000,2.0351,0.0314,1.0153,0.0184
9668375000.0000,2.0358,0.0298,1.0140,0.0183
9670937500.0000,2.0358,0.0309,1.0149,0.0193
9673500000.0000,2.0347,0.0309,1.0133,0.0212
9676062500.0000,2.0344,0.0311,1.0129,0.0196
9678625000.0000,2.0344,0.0333,1.0120,0.0212
9681187500.0000,2.0380,0.0328,1.0144,0.0173
9683750000.0000,2.0380,0.0324,1.0142,0.0175
9686312500.0000,2.0373,0.0298,1.0174,0.0192
9688875000.0000,2.0356,0.0328,1.0136,0.0201
9691437500.0000,2.0366,0.0323,1.0136,0.0190
9694000000.0000,2.0356,0.0331,1.0139,0.0198
9696562500.0000,2.0375,0.0314,1.0134,0.0189
9699125000.0000,2.0356,0.0317,1.0144,0.0176
9701687500.0000,2.0363,0.0330,1.0131,0.0201
9704250000.0000,2.0359,0.0334,1.0145,0.0215
9706812500.0000,2.0375,0.0357,1.0164,0.0179
9709375000.0000,2.0363,0.0342,1.0131,0.0201
9711937500.0000,2.0377,0.0369,1.0141,0.0186
9714500000.0000,2.0393,0.0390,1.0122,0.0156
9717062500.0000,2.0359,0.0356,1.0150,0.0237
9719625000.0000,2.0361,0.0334,1.0127,0.0189
9722187500.0000,2.0374,0.0298,1.0124,0.0197
9724750000.0000,2.0402,0.0340,1.0151,0.0221
9727312500.0000,2.0323,0.0324,1.0090,0.0209
9729875000.0000,2.0324,0.0362,1.0110,0.0182
9732437500.0000,2.0385,0.0336,1.0161,0.0240
9735000000.0000,2.0360,0.0323,1.0094,0.0212
9737562500.0000,2.0369,0.0345,1.0125,0.0210
9740125000.0000,2.0368,0.0315,1.0143,0.0227
9742687500.0000,2.0341,0.0383,1.0103,0.0180
9745250000.0000,2.0364,0.0398,1.0109,0.0194
9747812500.0000,2.0345,0.0368,1.0114,0.0212
9750375000.0000,2.0357,0.0365,1.0125,0.0234
9752937500.0000,2.0346,0.0372,1.0133,0.0201
9755500000.0000,2.0339,0.0331,1.0129,0.0234
9758062500.0000,2.0341,0.0334,1.0104,0.0219
9760625000.0000,2.0326,0.0322,1.0096,0.0228
9763187500.0000,2.0369,0.0337,1.0140,0.0209
9765750000.0000,2.0346,0.0347,1.0128,0.0218
9768312500.0000,2.0347,0.0327,1.0140,0.0202
9770875000.0000,2.0320,0.0357,1.0132,0.0189
9773437500.0000,2.0345,0.0327,1.0135,0.0208
9776000000.0000,2.0361,0.0317,1.0133,0.0216
9778562500.0000,2.0351,0.0326,1.0131,0.0209
9781125000.0000,2.0348,0.0351,1.0131,0.0216
9783687500.0000,2.0346,0.0348,1.0137,0.0212
9786250000.0000,2.0360,0.0344,1.0133,0.0193
9788812500.0000,2.0334,0.0327,1.0104,0.0196
9791375000.0000,2.0342,0.0289,1.0152,0.0187
9793937500.0000,2.0391,0.0254,1.0161,0.0170
9796500000.0000,2.0414,0.0363,1.0116,0.0160
9799062500.0000,2.0356,0.0344,1.0109,0.0208
9801625000.0000,2.0360,0.0333,1.0144,0.0207
9804187500.0000,2.0349,0.0321,1.0116,0.0223
9806750000.0000,2.0361,0.0321,1.0117,0.0178
9809312500.0000,2.0327,0.0293,1.0146,0.0225
9811875000.0000,2.0349,0.0329,1.0086,0.0190
9814437500.0000,2.0380,0.0328,1.0136,0.0154
9817000000.0000,2.0364,0.0320,1.0101,0.0165
9819562500.0000,2.0399,0.0339,1.0155,0.0205
9822125000.0000,2.0381,0.0341,1.0166,0.0194
9824687500.0000,2.0376,0.0334,1.0136,0.0198
9827250000.0000,2.0393,0.0331,1.0109,0.0173
9829812500.0000,2.0374,0.0335,1.0133,0.0171
9832375000.0000,2.0370,0.0362,1.0111,0.0201
9834937500.0000,2.0371,0.0336,1.0111,0.0207
9837500000.0000,2.0373,0.0330,1.0102,0.0209
9840062500.0000,2.0362,0.0364,1.0110,0.0182
9842625000.0000,2.0380,0.0354,1.0123,0.0172
9845187500.0000,2.0359,0.0355,1.0108,0.0182
9847750000.0000,2.0356,0.0338,1.0118,0.0221
9850312500.0000,2.0357,0.0358,1.0129,0.0174
9852875000.0000,2.0343,0.0357,1.0144,0.0232
9855437500.0000,2.0370,0.0351,1.0119,0.0196
9858000000.0000,2.0360,0.0371,1.0114,0.0208
9860562500.0000,2.0348,0.0389,1.0109,0.0187
9863125000.0000,2.0354,0.0385,1.0113,0.0193
9865687500.0000,2.0348,0.0367,1.0129,0.0213
9868250000.0000,2.0381,0.0373,1.0135,0.0182
9870812500.0000,2.0368,0.0357,1.0143,0.0199
9873375000.0000,2.0338,0.0312,1.0180,0.0256
9875937500.0000,2.0353,0.0360,1.0163,0.0190
9878500000.0000,2.0372,0.0372,1.0160,0.0199
9881062500.0000,2.0363,0.0358,1.0166,0.0232
9883625000.0000,2.0315,0.0358,1.0142,0.0242
9886187500.0000,2.0332,0.0333,1.0153,0.0237
9888750000.0000,2.0371,0.0359,1.0202,0.0190
9891312500.0000,2.0354,0.0373,1.0142,0.0195
9893875000.0000,2.0370,0.0379,1.0155,0.0200
9896437500.0000,2.0373,0.0363,1.0169,0.0187
9899000000.0000,2.0335,0.0347,1.0125,0.0211
9901562500.0000,2.0319,0.0372,1.0120,0.0197
9904125000.0000,2.0354,0.0354,1.0166,0.0203
9906687500.0000,2.0345,0.0324,1.0093,0.0219
9909250000.0000,2.0344,0.0361,1.0157,0.0197
9911812500.0000,2.0351,0.0360,1.0137,0.0219
9914375000.0000,2.0370,0.0345,1.0123,0.0226
9916937500.0000,2.0323,0.0323,1.0122,0.0192
9919500000.0000,2.0332,0.0315,1.0137,0.0232
9922062500.0000,2.0349,0.0389,1.0129,0.0188
9924625000.0000,2.0330,0.0363,1.0140,0.0205
9927187500.0000,2.0350,0.0345,1.0123,0.0192
9929750000.0000,2.0392,0.0405,1.0114,0.0206
9932312500.0000,2.0359,0.0306,1.0121,0.0183
9934875000.0000,2.0355,0.0411,1.0142,0.0189
9937437500.0000,2.0399,0.0387,1.0113,0.0188
9940000000.0000,2.0376,0.0341,1.0131,0.0194
9942562500.0000,2.0336,0.0341,1.0151,0.0195
9945125000.0000,2.0363,0.0383,1.0099,0.0216
9947687500.0000,2.0367,0.0302,1.0139,0.0196
9950250000.0000,2.0401,0.0328,1.0144,0.0185
9952812500.0000,2.0382,0.0323,1.0165,0.0187
9955375000.0000,2.0308,0.0357,1.0123,0.0247
9957937500.0000,2.0358,0.0358,1.0127,0.0193
9960500000.0000,2.0351,0.0381,1.0099,0.0217
9963062500.0000,2.0364,0.0366,1.0102,0.0201
9965625000.0000,2.0354,0.0381,1.0088,0.0224
9968187500.0000,2.0356,0.0370,1.0114,0.0193
9970750000.0000,2.0313,0.0364,1.0153,0.0253
9973312500.0000,2.0349,0.0376,1.0144,0.0235
9975875000.0000,2.0365,0.0381,1.0130,0.0247
9978437500.0000,2.0378,0.0363,1.0090,0.0226
9981000000.0000,2.0361,0.0348,1.0102,0.0220
9983562500.0000,2.0380,0.0357,1.0155,0.0233
9986125000.0000,2.0375,0.0369,1.0107,0.0160
9988687500.0000,2.0337,0.0377,1.0177,0.0228
9991250000.0000,2.0326,0.0368,1.0151,0.0219
9993812500.0000,2.0340,0.0362,1.0163,0.0235
9996375000.0000,2.0364,0.0365,1.0105,0.0222
9998937500.0000,2.0347,0.0371,1.0142,0.0236
10001500000.0000,2.0353,0.0363,1.0149,0.0242
10004062500.0000,2.0361,0.0378,1.0148,0.0243
10006625000.0000,2.0355,0.0371,1.0145,0.0226
10009187500.0000,2.0347,0.0371,1.0134,0.0237
10011750000.0000,2.0331,0.0370,1.0118,0.0218
10014312500.0000,2.0337,0.0379,1.0152,0.0210
10016875000.0000,2.0362,0.0430,1.0106,0.0193
10019437500.0000,2.0316,0.0389,1.0135,0.0207
10022000000.0000,2.0300,0.0364,1.0152,0.0239
10024562500.0000,2.0328,0.0394,1.0137,0.0204
10027125000.0000,2.0367,0.0398,1.0147,0.0167
10029687500.0000,2.0366,0.0392,1.0151,0.0185
10032250000.0000,2.0353,0.0366,1.0180,0.0202
10034812500.0000,2.0334,0.0315,1.0179,0.0230
10037375000.0000,2.0384,0.0380,1.0176,0.0189
10039937500.0000,2.0357,0.0369,1.0171,0.0199
10042500000.0000,2.0363,0.0338,1.0175,0.0192
10045062500.0000,2.0332,0.0377,1.0105,0.0255
10047625000.0000,2.0333,0.0357,1.0187,0.0181
10050187500.0000,2.0341,0.0367,1.0168,0.0174
10052750000.0000,2.0343,0.0361,1.0135,0.0175
10055312500.0000,2.0348,0.0371,1.0163,0.0207
10057875000.0000,2.0329,0.0364,1.0200,0.0146
10060437500.0000,2.0355,0.0368,1.0146,0.0195
10063000000.0000,2.0357,0.0392,1.0143,0.0212
10065562500.0000,2.0351,0.0391,1.0120,0.0204
10068125000.0000,2.0340,0.0379,1.0166,0.0170
10070687500.0000,2.0350,0.0389,1.0162,0.0227
10073250000.0000,2.0363,0.0383,1.0112,0.0227
10075812500.0000,2.0375,0.0388,1.0108,0.0218
10078375000.0000,2.0350,0.0376,1.0152,0.0203
10080937500.0000,2.0358,0.0393,1.0156,0.0255
10083500000.0000,2.0383,0.0394,1.0110,0.0235
10086062500.0000,2.0299,0.0422,1.0137,0.0221
10088625000.0000,2.0388,0.0375,1.0104,0.0225
10091187500.0000,2.0330,0.0321,1.0134,0.0222
10093750000.0000,2.0364,0.0425,1.0132,0.0221
10096312500.0000,2.0382,0.0447,1.0141,0.0204
10098875000.0000,2.0352,0.0367,1.0128,0.0205
10101437500.0000,2.0317,0.0378,1.0137,0.0224
10104000000.0000,2.0343,0.0434,1.0137,0.0242
10106562500.0000,2.0334,0.0420,1.0133,0.0243
10109125000.0000,2.0339,0.0421,1.0128,0.0231
10111687500.0000,2.0307,0.0386,1.0151,0.0231
10114250000.0000,2.0368,0.0378,1.0171,0.0207
10116812500.0000,2.0361,0.0369,1.0133,0.0228
10119375000.0000,2.0357,0.0412,1.0139,0.0233
10121937500.0000,2.0335,0.0353,1.0164,0.0221
10124500000.0000,2.0345,0.0407,1.0114,0.0231
10127062500.0000,2.0339,0.0374,1.0158,0.0254
10129625000.0000,2.0357,0.0421,1.0118,0.0232
10132187500.0000,2.0365,0.0364,1.0145,0.0256
10134750000.0000,2.0354,0.0349,1.0178,0.0221
10137312500.0000,2.0351,0.0342,1.0180,0.0194
10139875000.0000,2.0373,0.0350,1.0122,0.0189
10142437500.0000,2.0382,0.0390,1.0117,0.0231
10145000000.0000,2.0357,0.0364,1.0143,0.0236
10147562500.0000,2.0370,0.0376,1.0151,0.0215
10150125000.0000,2.0399,0.0372,1.0104,0.0236
10152687500.0000,2.0366,0.0381,1.0128,0.0232
10155250000.0000,2.0383,0.0387,1.0109,0.0223
10157812500.0000,2.0353,0.0361,1.0158,0.0210
10160375000.0000,2.0365,0.0432,1.0139,0.0212
10162937500.0000,2.0415,0.0347,1.0143,0.0226
10165500000.0000,2.0363,0.0385,1.0159,0.0167
10168062500.0000,2.0362,0.0367,1.0137,0.0210
10170625000.0000,2.0380,0.0383,1.0131,0.0204
10173187500.0000,2.0379,0.0372,1.0121,0.0219
10175750000.0000,2.0405,0.0351,1.0150,0.0215
10178312500.0000,2.0372,0.0368,1.0139,0.0237
10180875000.0000,2.0336,0.0346,1.0131,0.0238
10183437500.0000,2.0349,0.0358,1.0140,0.0221
10186000000.0000,2.0379,0.0359,1.0150,0.0215
10188562500.0000,2.0438,0.0391,1.0153,0.0179
10191125000.0000,2.0387,0.0389,1.0149,0.0194
10193687500.0000,2.0383,0.0359,1.0154,0.0200
10196250000.0000,2.0391,0.0360,1.0162,0.0220
10198812500.0000,2.0344,0.0394,1.0121,0.0238
10201375000.0000,2.0376,0.0438,1.0087,0.0218
10203937500.0000,2.0387,0.0426,1.0122,0.0189
10206500000.0000,2.0381,0.0408,1.0133,0.0204
10209062500.0000,2.0378,0.0394,1.0138,0.0213
10211625000.0000,2.0378,0.0386,1.0132,0.0240
10214187500.0000,2.0374,0.0378,1.0158,0.0228
10216750000.0000,2.0403,0.0390,1.0100,0.0205
10219312500.0000,2.0384,0.0392,1.0160,0.0208
10221875000.0000,2.0390,0.0417,1.0141,0.0236
10224437500.0000,2.0410,0.0399,1.0114,0.0245
10227000000.0000,2.0411,0.0397,1.0110,0.0204
10229562500.0000,2.0375,0.0416,1.0131,0.0211
10232125000.0000,2.0362,0.0444,1.0173,0.0197
10234687500.0000,2.0402,0.0426,1.0130,0.0195
10237250000.0000,2.0420,0.0431,1.0122,0.0231
10239812500.0000,2.0431,0.0427,1.0147,0.0269
10242375000.0000,2.0373,0.0409,1.0135,0.0249
10244937500.0000,2.0405,0.0461,1.0120,0.0243
10247500000.0000,2.0425,0.0391,1.0138,0.0219
10250062500.0000,2.0408,0.0479,1.0134,0.0213
10252625000.0000,2.0388,0.0387,1.0101,0.0235
10255187500.0000,2.0377,0.0395,1.0128,0.0231
10257750000.0000,2.0453,0.0428,1.0135,0.0220
10260312500.0000,2.0406,0.0356,1.0162,0.0220
10262875000.0000,2.0399,0.0375,1.0130,0.0268
10265437500.0000,2.0433,0.0469,1.0118,0.0244
10268000000.0000,2.0376,0.0436,1.0132,0.0225
10270562500.0000,2.0429,0.0458,1.0105,0.0203
10273125000.0000,2.0393,0.0394,1.0135,0.0226
10275687500.0000,2.0427,0.0407,1.0148,0.0220
10278250000.0000,2.0412,0.0393,1.0132,0.0233
10280812500.0000,2.0327,0.0398,1.0130,0.0255
10283375000.0000,2.0387,0.0475,1.0098,0.0217
10285937500.0000,2.0399,0.0419,1.0129,0.0233
10288500000.0000,2.0390,0.0420,1.0123,0.0252
10291062500.0000,2.0389,0.0394,1.0137,0.0250
10293625000.0000,2.0387,0.0426,1.0109,0.0246
10296187500.0000,2.0387,0.0392,1.0143,0.0221
10298750000.0000,2.0388,0.0425,1.0118,0.0232
10301312500.0000,2.0373,0.0382,1.0156,0.0264
10303875000.0000,2.0389,0.0358,1.0153,0.0228
10306437500.0000,2.0410,0.0385,1.0133,0.0195
10309000000.0000,2.0372,0.0381,1.0154,0.0223
10311562500.0000,2.0361,0.0370,1.0157,0.0241
10314125000.0000,2.0431,0.0404,1.0133,0.0255
10316687500.0000,2.0425,0.0376,1.0149,0.0213
10319250000.0000,2.0411,0.0385,1.0150,0.0210
10321812500.0000,2.0392,0.0372,1.0149,0.0215
10324375000.0000,2.0390,0.0386,1.0111,0.0220
10326937500.0000,2.0367,0.0360,1.0098,0.0246
10329500000.0000,2.0359,0.0370,1.0125,0.0217
10332062500.0000,2.0367,0.0395,1.0133,0.0234
10334625000.0000,2.0400,0.0376,1.0141,0.0254
10337187500.0000,2.0421,0.0408,1.0140,0.0224
10339750000.0000,2.0419,0.0382,1.0118,0.0218
10342312500.0000,2.0417,0.0409,1.0114,0.0206
10344875000.0000,2.0436,0.0418,1.0139,0.0193
10347437500.0000,2.0368,0.0405,1.0094,0.0211
10350000000.0000,2.0407,0.0400,1.0146,0.0194
10352562500.0000,2.0446,0.0402,1.0152,0.0201
10355125000.0000,2.0387,0.0410,1.0128,0.0221
10357687500.0000,2.0411,0.0390,1.0118,0.0218
10360250000.0000,2.0429,0.0383,1.0150,0.0223
10362812500.0000,2.0405,0.0436,1.0117,0.0239
10365375000.0000,2.0411,0.0433,1.0120,0.0223
10367937500.0000,2.0425,0.0390,1.0141,0.0223
10370500000.0000,2.0396,0.0439,1.0117,0.0239
10373062500.0000,2.0411,0.0439,1.0114,0.0228
10375625000.0000,2.0414,0.0446,1.0128,0.0243
10378187500.0000,2.0410,0.0457,1.0122,0.0272
10380750000.0000,2.0425,0.0432,1.0125,0.0243
10383312500.0000,2.0399,0.0429,1.0140,0.0226
10385875000.0000,2.0379,0.0432,1.0153,0.0245
10388437500.0000,2.0391,0.0470,1.0129,0.0258
10391000000.0000,2.0376,0.0417,1.0121,0.0237
10393562500.0000,2.0337,0.0443,1.0147,0.0231
10396125000.0000,2.0384,0.0422,1.0111,0.0217
10398687500.0000,2.0382,0.0467,1.0127,0.0237
10401250000.0000,2.0407,0.0395,1.0144,0.0252
10403812500.0000,2.0426,0.0475,1.0130,0.0241
10406375000.0000,2.0405,0.0460,1.0095,0.0249
10408937500.0000,2.0405,0.0483,1.0116,0.0225
10411500000.0000,2.0419,0.0432,1.0120,0.0246
10414062500.0000,2.0379,0.0473,1.0124,0.0239
10416625000.0000,2.0381,0.0421,1.0099,0.0241
10419187500.0000,2.0415,0.0479,1.0126,0.0213
10421750000.0000,2.0368,0.0464,1.0115,0.0232
10424312500.0000,2.0403,0.0441,1.0142,0.0238
10426875000.0000,2.0425,0.0412,1.0150,0.0239
10429437500.0000,2.0420,0.0381,1.0131,0.0252
10432000000.0000,2.0391,0.0451,1.0102,0.0236
10434562500.0000,2.0427,0.0400,1.0143,0.0235
10437125000.0000,2.0384,0.0390,1.0139,0.0262
10439687500.0000,2.0421,0.0406,1.0132,0.0239
10442250000.0000,2.0433,0.0431,1.0124,0.0243
10444812500.0000,2.0423,0.0412,1.0119,0.0245
10447375000.0000,2.0458,0.0412,1.0135,0.0226
10449937500.0000,2.0416,0.0417,1.0115,0.0242
10452500000.0000,2.0440,0.0410,1.0131,0.0232
10455062500.0000,2.0415,0.0422,1.0112,0.0256
10457625000.0000,2.0421,0.0413,1.0125,0.0239
10460187500.0000,2.0420,0.0405,1.0120,0.0218
10462750000.0000,2.0409,0.0386,1.0112,0.0253
10465312500.0000,2.0407,0.0425,1.0096,0.0231
10467875000.0000,2.0451,0.0415,1.0110,0.0243
10470437500.0000,2.0446,0.0406,1.0094,0.0235
10473000000.0000,2.0407,0.0426,1.0121,0.0231
10475562500.0000,2.0420,0.0392,1.0158,0.0221
10478125000.0000,2.0461,0.0422,1.0152,0.0239
10480687500.0000,2.0428,0.0409,1.0122,0.0228
10483250000.0000,2.0394,0.0442,1.0125,0.0257
10485812500.0000,2.0465,0.0440,1.0141,0.0234
10488375000.0000,2.0435,0.0458,1.0105,0.0208
10490937500.0000,2.0398,0.0453,1.0149,0.0215
10493500000.0000,2.0393,0.0433,1.0106,0.0241
10496062500.0000,2.0380,0.0441,1.0117,0.0229
10498625000.0000,2.0556,0.0544,0.9933,0.0213
10501187500.0000,2.0652,-0.0070,0.9897,-0.0076
10503750000.0000,2.0412,0.0391,1.0119,0.0313
10506312500.0000,2.0433,0.0458,1.0132,0.0251
10508875000.0000,2.0443,0.0446,1.0132,0.0253
10511437500.0000,2.0416,0.0455,1.0126,0.0256
10514000000.0000,2.0391,0.0452,1.0152,0.0261
10516562500.0000,2.0415,0.0465,1.0138,0.0259
10519125000.0000,2.0411,0.0463,1.0135,0.0251
10521687500.0000,2.0375,0.0457,1.0130,0.0256
10524250000.0000,2.0402,0.0474,1.0137,0.0240
10526812500.0000,2.0418,0.0477,1.0140,0.0255
10529375000.0000,2.0421,0.0447,1.0139,0.0279
10531937500.0000,2.0423,0.0464,1.0121,0.0251
10534500000.0000,2.0414,0.0448,1.0151,0.0243
10537062500.0000,2.0395,0.0481,1.0131,0.0245
10539625000.0000,2.0417,0.0469,1.0134,0.0260
10542187500.0000,2.0430,0.0437,1.0151,0.0238
10544750000.0000,2.0450,0.0468,1.0139,0.0232
10547312500.0000,2.0410,0.0487,1.0130,0.0234
10549875000.0000,2.0421,0.0447,1.0149,0.0265
10552437500.0000,2.0445,0.0460,1.0140,0.0288
10555000000.0000,2.0418,0.0461,1.0131,0.0268
10557562500.0000,2.0432,0.0458,1.0136,0.0267
10560125000.0000,2.0406,0.0460,1.0127,0.0258
10562687500.0000,2.0474,0.0467,1.0163,0.0258
10565250000.0000,2.0449,0.0528,1.0143,0.0255
10567812500.0000,2.0415,0.0496,1.0133,0.0252
10570375000.0000,2.0412,0.0402,1.0133,0.0311
10572937500.0000,2.0419,0.0439,1.0139,0.0286
10575500000.0000,2.0461,0.0490,1.0150,0.0263
10578062500.0000,2.0424,0.0467,1.0123,0.0250
10580625000.0000,2.0387,0.0515,1.0099,0.0210
10583187500.0000,2.0490,0.0445,1.0130,0.0254
10585750000.0000,2.0419,0.0429,1.0131,0.0298
10588312500.0000,2.0417,0.0462,1.0153,0.0264
10590875000.0000,2.0420,0.0445,1.0135,0.0286
10593437500.0000,2.0438,0.0459,1.0142,0.0278
10596000000.0000,2.0415,0.0440,1.0116,0.0256
10598562500.0000,2.0454,0.0471,1.0138,0.0269
10601125000.0000,2.0440,0.0469,1.0135,0.0267
10603687500.0000,2.0416,0.0460,1.0121,0.0272
10606250000.0000,2.0421,0.0447,1.0106,0.0282
10608812500.0000,2.0445,0.0479,1.0153,0.0250
10611375000.0000,2.0408,0.0460,1.0135,0.0250
10613937500.0000,2.0437,0.0461,1.0116,0.0238
10616500000.0000,2.0433,0.0431,1.0135,0.0258
10619062500.0000,2.0409,0.0450,1.0148,0.0254
10621625000.0000,2.0409,0.0429,1.0118,0.0253
10624187500.0000,2.0427,0.0412,1.0107,0.0271
10626750000.0000,2.0407,0.0440,1.0127,0.0244
10629312500.0000,2.0388,0.0457,1.0137,0.0245
10631875000.0000,2.0390,0.0437,1.0133,0.0272
10634437500.0000,2.0422,0.0427,1.0144,0.0267
10637000000.0000,2.0438,0.0455,1.0133,0.0242
10639562500.0000,2.0397,0.0442,1.0113,0.0254
10642125000.0000,2.0416,0.0436,1.0118,0.0262
10644687500.0000,2.0424,0.0395,1.0130,0.0265
10647250000.0000,2.0477,0.0427,1.0172,0.0258
10649812500.0000,2.0442,0.0470,1.0112,0.0232
10652375000.0000,2.0459,0.0460,1.0149,0.0236
10654937500.0000,2.0457,0.0419,1.0135,0.0272
10657500000.0000,2.0430,0.0446,1.0141,0.0275
10660062500.0000,2.0423,0.0493,1.0124,0.0209
10662625000.0000,2.0437,0.0486,1.0145,0.0230
10665187500.0000,2.0433,0.0427,1.0116,0.0263
10667750000.0000,2.0412,0.0452,1.0074,0.0231
10670312500.0000,2.0449,0.0423,1.0146,0.0293
10672875000.0000,2.0405,0.0453,1.0112,0.0234
10675437500.0000,2.0402,0.0458,1.0139,0.0223
10678000000.0000,2.0376,0.0475,1.0145,0.0225
10680562500.0000,2.0432,0.0419,1.0132,0.0275
10683125000.0000,2.0456,0.0442,1.0132,0.0300
10685687500.0000,2.0420,0.0451,1.0114,0.0249
10688250000.0000,2.0436,0.0432,1.0125,0.0271
10690812500.0000,2.0401,0.0449,1.0129,0.0251
10693375000.0000,2.0422,0.0458,1.0121,0.0249
10695937500.0000,2.0379,0.0443,1.0139,0.0250
10698500000.0000,2.0428,0.0472,1.0116,0.0236
10701062500.0000,2.0420,0.0445,1.0144,0.0269
10703625000.0000,2.0416,0.0468,1.0142,0.0266
10706187500.0000,2.0393,0.0450,1.0149,0.0261
10708750000.0000,2.0430,0.0480,1.0120,0.0253
10711312500.0000,2.0425,0.0489,1.0116,0.0268
10713875000.0000,2.0410,0.0504,1.0103,0.0243
10716437500.0000,2.0434,0.0510,1.0122,0.0226
10719000000.0000,2.0385,0.0483,1.0126,0.0278
10721562500.0000,2.0403,0.0497,1.0103,0.0260
10724125000.0000,2.0410,0.0495,1.0102,0.0254
10726687500.0000,2.0429,0.0471,1.0134,0.0229
10729250000.0000,2.0414,0.0476,1.0119,0.0256
10731812500.0000,2.0433,0.0504,1.0116,0.0214
10734375000.0000,2.0409,0.0459,1.0166,0.0250
10736937500.0000,2.0404,0.0453,1.0143,0.0281
10739500000.0000,2.0434,0.0476,1.0120,0.0228
10742062500.0000,2.0409,0.0444,1.0110,0.0275
10744625000.0000,2.0399,0.0463,1.0104,0.0276
10747187500.0000,2.0450,0.0467,1.0158,0.0249
10749750000.0000,2.0455,0.0457,1.0129,0.0269
10752312500.0000,2.0424,0.0467,1.0101,0.0284
10754875000.0000,2.0420,0.0459,1.0140,0.0299
10757437500.0000,2.0445,0.0476,1.0105,0.0239
10760000000.0000,2.0435,0.0473,1.0109,0.0239
10762562500.0000,2.0441,0.0500,1.0114,0.0229
10765125000.0000,2.0473,0.0462,1.0114,0.0272
10767687500.0000,2.0436,0.0441,1.0121,0.0246
10770250000.0000,2.0422,0.0468,1.0126,0.0273
10772812500.0000,2.0435,0.0463,1.0097,0.0277
10775375000.0000,2.0418,0.0472,1.0098,0.0232
10777937500.0000,2.0392,0.0507,1.0112,0.0240
10780500000.0000,2.0457,0.0426,1.0125,0.0245
10783062500.0000,2.0475,0.0430,1.0115,0.0223
10785625000.0000,2.0470,0.0464,1.0115,0.0239
10788187500.0000,2.0477,0.0478,1.0082,0.0214
10790750000.0000,2.0458,0.0451,1.0135,0.0238
10793312500.0000,2.0430,0.0519,1.0080,0.0250
10795875000.0000,2.0448,0.0447,1.0109,0.0231
10798437500.0000,2.0438,0.0467,1.0104,0.0224
10801000000.0000,2.0405,0.0485,1.0098,0.0244
10803562500.0000,2.0464,0.0489,1.0107,0.0209
10806125000.0000,2.0452,0.0478,1.0082,0.0228
10808687500.0000,2.0443,0.0437,1.0119,0.0272
10811250000.0000,2.0480,0.0399,1.0156,0.0248
10813812500.0000,2.0453,0.0455,1.0116,0.0212
10816375000.0000,2.0443,0.0420,1.0150,0.0226
10818937500.0000,2.0412,0.0474,1.0080,0.0283
10821500000.0000,2.0422,0.0454,1.0084,0.0293
10824062500.0000,2.0413,0.0452,1.0135,0.0291
10826625000.0000,2.0434,0.0458,1.0105,0.0286
10829187500.0000,2.0432,0.0446,1.0165,0.0260
10831750000.0000,2.0442,0.0469,1.0114,0.0276
10834312500.0000,2.0438,0.0467,1.0123,0.0270
10836875000.0000,2.0418,0.0432,1.0102,0.0213
10839437500.0000,2.0418,0.0449,1.0091,0.0229
10842000000.0000,2.0434,0.0469,1.0108,0.0259
10844562500.0000,2.0412,0.0443,1.0096,0.0245
10847125000.0000,2.0416,0.0479,1.0135,0.0290
10849687500.0000,2.0390,0.0425,1.0127,0.0252
